INFO - asvspoof19 - Running command 'main'
INFO - asvspoof19 - Started run with ID "24"
squeeze-and-excitation network
===> Model total parameter: 1344276
Epoch: [1][0/844]	Time 6.460 (6.460)	Data 2.600 (2.600)	LR 0.000004	Loss 0.8044 (0.8044)	Acc@1 1.953 (1.953)
Test: [7100/134730]	Time 0.017 (0.023)	Loss 0.1976 (0.4004)	Acc@1 100.000 (86.550)
Test: [7200/134730]	Time 0.034 (0.023)	Loss 0.2057 (0.4025)	Acc@1 100.000 (86.425)
Test: [7300/134730]	Time 0.027 (0.023)	Loss 0.1755 (0.4029)	Acc@1 100.000 (86.401)
Test: [7400/134730]	Time 0.016 (0.023)	Loss 0.1729 (0.4029)	Acc@1 100.000 (86.406)
Test: [7500/134730]	Time 0.015 (0.023)	Loss 0.1689 (0.4034)	Acc@1 100.000 (86.374)
Test: [7600/134730]	Time 0.016 (0.023)	Loss 0.1916 (0.4046)	Acc@1 100.000 (86.304)
Test: [7700/134730]	Time 0.018 (0.023)	Loss 0.1673 (0.4043)	Acc@1 100.000 (86.321)
Test: [7800/134730]	Time 0.015 (0.023)	Loss 0.1789 (0.4055)	Acc@1 100.000 (86.249)
Test: [7900/134730]	Time 0.026 (0.023)	Loss 1.8036 (0.4057)	Acc@1 0.000 (86.243)
Test: [8000/134730]	Time 0.015 (0.023)	Loss 1.8615 (0.4045)	Acc@1 0.000 (86.310)
Test: [8100/134730]	Time 0.030 (0.023)	Loss 0.1716 (0.4037)	Acc@1 100.000 (86.358)
Test: [8200/134730]	Time 0.017 (0.023)	Loss 0.1867 (0.4035)	Acc@1 100.000 (86.374)
Test: [8300/134730]	Time 0.044 (0.023)	Loss 0.1635 (0.4032)	Acc@1 100.000 (86.394)
Test: [8400/134730]	Time 0.015 (0.023)	Loss 0.2050 (0.4040)	Acc@1 100.000 (86.341)
Test: [8500/134730]	Time 0.028 (0.023)	Loss 0.2180 (0.4035)	Acc@1 100.000 (86.373)
Test: [8600/134730]	Time 0.019 (0.023)	Loss 1.5740 (0.4040)	Acc@1 0.000 (86.339)
Test: [8700/134730]	Time 0.015 (0.023)	Loss 0.1835 (0.4034)	Acc@1 100.000 (86.375)
Test: [8800/134730]	Time 0.014 (0.023)	Loss 0.2055 (0.4029)	Acc@1 100.000 (86.403)
Test: [8900/134730]	Time 0.031 (0.023)	Loss 0.1588 (0.4026)	Acc@1 100.000 (86.420)
Test: [9000/134730]	Time 0.035 (0.023)	Loss 0.1876 (0.4022)	Acc@1 100.000 (86.447)
Test: [9100/134730]	Time 0.021 (0.023)	Loss 0.1978 (0.4017)	Acc@1 100.000 (86.475)
Test: [9200/134730]	Time 0.014 (0.023)	Loss 0.1346 (0.4017)	Acc@1 100.000 (86.476)
Test: [9300/134730]	Time 0.031 (0.023)	Loss 0.1658 (0.4027)	Acc@1 100.000 (86.416)
Test: [9400/134730]	Time 0.019 (0.023)	Loss 1.8583 (0.4027)	Acc@1 0.000 (86.415)
Test: [9500/134730]	Time 0.015 (0.023)	Loss 0.1544 (0.4033)	Acc@1 100.000 (86.381)
Test: [9600/134730]	Time 0.018 (0.023)	Loss 0.1620 (0.4033)	Acc@1 100.000 (86.380)
Test: [9700/134730]	Time 0.016 (0.023)	Loss 0.1659 (0.4034)	Acc@1 100.000 (86.380)
